product,review_title,review_rating,review_text
Columbia Men's Watertight Ii Jacket,It's waterproof and keeps the wind out while being lightweight.,5.0,"I bought this jacket for my husband who is 5'10' and about 200 lbs.  It's a bit roomy as I wanted him to be able to fit a fleece jacket under it when needed.  It is loose enough without being baggy to look good with or without the fleece.  He's worn it a bit likes the feel and says it keeps the wind out.  It finally rained to test out the waterproof part - it's waterproof all right!  We stood out in the rain about 4 hrs, some of it was drizzle, most a steady rain. His shirt was dry when he took the jacket off.  His only wish was the hood was a bit stiffer at the top.  He said it kind of plastered around his head instead of creating a hood that stood out a bit.  His solution is to get a baseball hat and that will keep the rain off his face.  I would buy it again for sure!"
Columbia Men's Watertight Ii Jacket,Doesn’t appear authentic,1.0,"The jacket doesn’t appear to be authentic. It doesn’t have Columbia embroidered on the front and the sleeve like as on an original, it is more like a iron onto shirt like sticker of some sort. Also the tag on the inside is different like a general cloth label which doesn’t have the Columbia brand and QR code like on the original. Same goes for the ""Omni-tech"" on the sleeve. This jacket does not have ""Packable"" pocket on the inside of the left pocket with a label. Also like many customers reviewed, these jackets are oversized. Maybe good for people who live in colder climate wearing layers. For petiole living in temperate climate areas I would suggest you order one or two size smaller. This The jacket appears nice but I would not have paid this much if I wanted a regular unbranded jacket."
Columbia Men's Watertight Ii Jacket,"Authentic Columbia, I own 2",5.0,"Rumors of counterfeit had me wondering but I can confirm that this is an authentic Columbia watertight2, I called Columbia and was told it was probably fake because of lack of inside pocket and certain numbers so I kept the amazon jacket and ordered another one directly from Columbia and guess what, This is not a fake, Columbia no longer embroiders the name or puts inside pockets on this jacket, the 2 jackets are identical 😃 I am roughly 6 feet 225 pounds, XLT fits loose which I wanted, XL fits snugger but still perfect if I’d get in shape, I recommend This as an authentic jacket for cheeeeap if you like the right color😄"
Columbia Men's Watertight Ii Jacket,Fake Jacket,1.0,"The jacket I received is a fake.  I also ordered a tall to compared the lengths.  See pictures.  The tall jacket is on the left off the 1st 3 pics and the bottom on the last.  The fake jacket does not have Columbia embroidered, it is a sticker of some sort.  Also the tag on the inside is different as with the ""Omni-tech"" on the sleeve.  The fake jacket does not have ""Packable"" on the inside of the pocket.  The jacket appears nice and I would have not questioned its authenticity if I didn't have the tall jacket to compare.  I am returning it."
Columbia Men's Watertight Ii Jacket,Columbia or Amazon couldn't verify counterfeit,1.0,"Based on the other reviews I couldn't verify if the item I received was authentic or counterfeit. I got a replacement and both items had a non embroidered chest logo, missing packable tag in the pocket, and a non diamond omnitech logo on the left sleeve.I called Columbia and the best they could do is verify that the product number on the tag matched the number in their system, which it did. They couldn't address the concerns listed above.I contacted Amazon and they also couldn't verify if the product was authentic or counterfeit and will open an investigation."
Columbia Men's Watertight Ii Jacket,Nicely Made (and a word for you if you're on the L/XL line),5.0,"I am on the border of large and x-large with most my clothes (36"" give or take waist). From other reviews, I read it's a little big, so decided to size down and went for the large. It fits nice with a t-shirt underneath, but not a lot of extra room for my... ugh... expanded mid section.  With a fleece mid-layer, it's a bit snug me. So if you're right on that L/XL line in most your clothing due to an over-indulgence in yummy trail treats and plan to wear over thicker clothing, I'd go with the XL.  But if you plan to be using it as a summer raincoat over just a tee for hiking and so on (that's my plan with it), then I'd go with the L.  It's really that fine of a line for me."
Columbia Men's Watertight Ii Jacket,NOT Waterproof at all!!!,1.0,"I bought this to go hiking on the Inca trail in Peru.  Even though it was rainy season, luckily we had no rain.But, then I took it on a trip to NYC where I wore it during a rainstorm on the way to a house lunch.  Was dry for the 15 minute walk in light but steady rain.  Hung the jack up to dry.  When I went to put back on the jacket, the moisture had SOAKED ALL THE WAY THROUGH the entire jacket.  Like putting on a wet washcloth.  Very disappointing.The jacket looks nice, feels well, but most sincerely very NOT WATERPROOF AT ALL.Never washed or did anything with jacket.Seller:  If you think I got a bum jacket, please let me know.  Would try another to see if works."
Columbia Men's Watertight Ii Jacket,Great jacket!!,5.0,"My husband loves this jacket. It is actually waterproof. My husband mountain bikes as a hobby and he volunteers to build the trails. Rainy days are the best trail building days and he said this jacket kept him completely dry while he was working in the rain for hours. On sizing if you are barely a large size down to a medium. The large runs big. My husband is 5'10"" 170lbs and medium fits him perfect. The large fit my brother inlaw perfectly and he is 6' 220lbs for reference."
Columbia Men's Watertight Ii Jacket,Incrediblé jacket,5.0,"Had this jacket for about a month now and all I can say is it's awesome! Perfect for rain and a pretty damn good wind breaker as well. I can't say it's completely waterproof because I haven't been in a monsoon rainstorm but it's kept me dry for every other rain storm. Also it packs up so if you don't need it right now but maybe later for like a camping trip or something you can pull it out and put it on.Instructions: the left pocket has a label inside that says ""packable"" turn that guy inside out and stuff the rest of the jacket on in there.About the size of a normal picture 6""x4"" and the width of maybe 3-4"" probably depends on how well you stuff it in there. Hope this helps!"
Columbia Men's Watertight Ii Jacket,More Than a Rain Jacket,5.0,"A Review of the Columbia Men’s Watertight Rain JacketThe Columbia Men’s Watertight Rain Jacket is a lightweight waterproof jacket with a slim design. As the name suggests, the jacket is very much capable of keeping you dry on a rainy day; however, its value goes way beyond a rain coat. Here are several features that make this jacket a wonderful addition to your wardrobe.Waterproof and WindproofThis jacket is truly waterproof. It helps you stay clean and dry even in the pouring rain. With the waterproof technology comes the wonderful stain repellent feature. No matter how dirty the jacket gets during a rainy day, a simple wipe is enough to take care of it. The windproof feature provides an extra protection against the cold. Meanwhile, the fabric is still breathable that it allows moisture vapor to move away from the skin. The only downside is that the waterproof feature can post difficulty when it comes to washing this jacket. You may find a pouch of water when you take it out of the washer. An extra cycle of drying will take care of the issue if this ever occurs.DesignThis jacket is lined with a soft layer of mesh and is very light weight. The longer arm length and body length provide enough coverage to keep you dry no matter how hard the wind is blowing. The hood comes out far enough forward to shield your face while the drawstring helps keep the hood on even in strong wind. Two front pockets with zipper are big enough to protect a phone, a wallet, a set of keys, and even a pair of gloves from getting rained on. The slim design delivers a more modern look than its competitors, helping you keep the style even on an awfully crummy day. Meanwhile, the jacket is still generous with space around your chest so that you always have enough room for a sweater or a hoodie or even a coat. Another notable feature is that the entire jacket can be packed into the front left pocket, which comes with a double-sided zipper.VersatilityFew jackets are as versatile as this one. The waterproof and windproof features make this jacket practically perfect for a fishing trip. The breathable fabric makes sure that you can throw this jacket over your favorite tee on a rainy day in the middle of the summer. You can also layer up under this jacket for fall or winter use. The matt finish and the slick look ensure that no one knows you are using a rain jacket as a spring/fall windbreaker. You can also use this jacket to protect your pea coat from getting wet on a snow day.Overall, the Columbia Men’s Watertight Rain Jacket is a high quality jacket that can be worn in many occasions. It surely has room for improvements. But for the price you are paying, you can hardly find a better deal than this."
Columbia Men's Watertight Ii Jacket,It's waterproof and keeps the wind out while being lightweight.,5.0,"I bought this jacket for my husband who is 5'10' and about 200 lbs.  It's a bit roomy as I wanted him to be able to fit a fleece jacket under it when needed.  It is loose enough without being baggy to look good with or without the fleece.  He's worn it a bit likes the feel and says it keeps the wind out.  It finally rained to test out the waterproof part - it's waterproof all right!  We stood out in the rain about 4 hrs, some of it was drizzle, most a steady rain. His shirt was dry when he took the jacket off.  His only wish was the hood was a bit stiffer at the top.  He said it kind of plastered around his head instead of creating a hood that stood out a bit.  His solution is to get a baseball hat and that will keep the rain off his face.  I would buy it again for sure!"
Columbia Men's Watertight Ii Jacket,Doesn’t appear authentic,1.0,"The jacket doesn’t appear to be authentic. It doesn’t have Columbia embroidered on the front and the sleeve like as on an original, it is more like a iron onto shirt like sticker of some sort. Also the tag on the inside is different like a general cloth label which doesn’t have the Columbia brand and QR code like on the original. Same goes for the ""Omni-tech"" on the sleeve. This jacket does not have ""Packable"" pocket on the inside of the left pocket with a label. Also like many customers reviewed, these jackets are oversized. Maybe good for people who live in colder climate wearing layers. For petiole living in temperate climate areas I would suggest you order one or two size smaller. This The jacket appears nice but I would not have paid this much if I wanted a regular unbranded jacket."
Columbia Men's Watertight Ii Jacket,"Authentic Columbia, I own 2",5.0,"Rumors of counterfeit had me wondering but I can confirm that this is an authentic Columbia watertight2, I called Columbia and was told it was probably fake because of lack of inside pocket and certain numbers so I kept the amazon jacket and ordered another one directly from Columbia and guess what, This is not a fake, Columbia no longer embroiders the name or puts inside pockets on this jacket, the 2 jackets are identical 😃 I am roughly 6 feet 225 pounds, XLT fits loose which I wanted, XL fits snugger but still perfect if I’d get in shape, I recommend This as an authentic jacket for cheeeeap if you like the right color😄"
Columbia Men's Watertight Ii Jacket,Fake Jacket,1.0,"The jacket I received is a fake.  I also ordered a tall to compared the lengths.  See pictures.  The tall jacket is on the left off the 1st 3 pics and the bottom on the last.  The fake jacket does not have Columbia embroidered, it is a sticker of some sort.  Also the tag on the inside is different as with the ""Omni-tech"" on the sleeve.  The fake jacket does not have ""Packable"" on the inside of the pocket.  The jacket appears nice and I would have not questioned its authenticity if I didn't have the tall jacket to compare.  I am returning it."
Columbia Men's Watertight Ii Jacket,Columbia or Amazon couldn't verify counterfeit,1.0,"Based on the other reviews I couldn't verify if the item I received was authentic or counterfeit. I got a replacement and both items had a non embroidered chest logo, missing packable tag in the pocket, and a non diamond omnitech logo on the left sleeve.I called Columbia and the best they could do is verify that the product number on the tag matched the number in their system, which it did. They couldn't address the concerns listed above.I contacted Amazon and they also couldn't verify if the product was authentic or counterfeit and will open an investigation."
Columbia Men's Watertight Ii Jacket,Nicely Made (and a word for you if you're on the L/XL line),5.0,"I am on the border of large and x-large with most my clothes (36"" give or take waist). From other reviews, I read it's a little big, so decided to size down and went for the large. It fits nice with a t-shirt underneath, but not a lot of extra room for my... ugh... expanded mid section.  With a fleece mid-layer, it's a bit snug me. So if you're right on that L/XL line in most your clothing due to an over-indulgence in yummy trail treats and plan to wear over thicker clothing, I'd go with the XL.  But if you plan to be using it as a summer raincoat over just a tee for hiking and so on (that's my plan with it), then I'd go with the L.  It's really that fine of a line for me."
Columbia Men's Watertight Ii Jacket,NOT Waterproof at all!!!,1.0,"I bought this to go hiking on the Inca trail in Peru.  Even though it was rainy season, luckily we had no rain.But, then I took it on a trip to NYC where I wore it during a rainstorm on the way to a house lunch.  Was dry for the 15 minute walk in light but steady rain.  Hung the jack up to dry.  When I went to put back on the jacket, the moisture had SOAKED ALL THE WAY THROUGH the entire jacket.  Like putting on a wet washcloth.  Very disappointing.The jacket looks nice, feels well, but most sincerely very NOT WATERPROOF AT ALL.Never washed or did anything with jacket.Seller:  If you think I got a bum jacket, please let me know.  Would try another to see if works."
Columbia Men's Watertight Ii Jacket,Great jacket!!,5.0,"My husband loves this jacket. It is actually waterproof. My husband mountain bikes as a hobby and he volunteers to build the trails. Rainy days are the best trail building days and he said this jacket kept him completely dry while he was working in the rain for hours. On sizing if you are barely a large size down to a medium. The large runs big. My husband is 5'10"" 170lbs and medium fits him perfect. The large fit my brother inlaw perfectly and he is 6' 220lbs for reference."
Columbia Men's Watertight Ii Jacket,Incrediblé jacket,5.0,"Had this jacket for about a month now and all I can say is it's awesome! Perfect for rain and a pretty damn good wind breaker as well. I can't say it's completely waterproof because I haven't been in a monsoon rainstorm but it's kept me dry for every other rain storm. Also it packs up so if you don't need it right now but maybe later for like a camping trip or something you can pull it out and put it on.Instructions: the left pocket has a label inside that says ""packable"" turn that guy inside out and stuff the rest of the jacket on in there.About the size of a normal picture 6""x4"" and the width of maybe 3-4"" probably depends on how well you stuff it in there. Hope this helps!"
Columbia Men's Watertight Ii Jacket,More Than a Rain Jacket,5.0,"A Review of the Columbia Men’s Watertight Rain JacketThe Columbia Men’s Watertight Rain Jacket is a lightweight waterproof jacket with a slim design. As the name suggests, the jacket is very much capable of keeping you dry on a rainy day; however, its value goes way beyond a rain coat. Here are several features that make this jacket a wonderful addition to your wardrobe.Waterproof and WindproofThis jacket is truly waterproof. It helps you stay clean and dry even in the pouring rain. With the waterproof technology comes the wonderful stain repellent feature. No matter how dirty the jacket gets during a rainy day, a simple wipe is enough to take care of it. The windproof feature provides an extra protection against the cold. Meanwhile, the fabric is still breathable that it allows moisture vapor to move away from the skin. The only downside is that the waterproof feature can post difficulty when it comes to washing this jacket. You may find a pouch of water when you take it out of the washer. An extra cycle of drying will take care of the issue if this ever occurs.DesignThis jacket is lined with a soft layer of mesh and is very light weight. The longer arm length and body length provide enough coverage to keep you dry no matter how hard the wind is blowing. The hood comes out far enough forward to shield your face while the drawstring helps keep the hood on even in strong wind. Two front pockets with zipper are big enough to protect a phone, a wallet, a set of keys, and even a pair of gloves from getting rained on. The slim design delivers a more modern look than its competitors, helping you keep the style even on an awfully crummy day. Meanwhile, the jacket is still generous with space around your chest so that you always have enough room for a sweater or a hoodie or even a coat. Another notable feature is that the entire jacket can be packed into the front left pocket, which comes with a double-sided zipper.VersatilityFew jackets are as versatile as this one. The waterproof and windproof features make this jacket practically perfect for a fishing trip. The breathable fabric makes sure that you can throw this jacket over your favorite tee on a rainy day in the middle of the summer. You can also layer up under this jacket for fall or winter use. The matt finish and the slick look ensure that no one knows you are using a rain jacket as a spring/fall windbreaker. You can also use this jacket to protect your pea coat from getting wet on a snow day.Overall, the Columbia Men’s Watertight Rain Jacket is a high quality jacket that can be worn in many occasions. It surely has room for improvements. But for the price you are paying, you can hardly find a better deal than this."
Columbia Men's Watertight Ii Jacket,It's waterproof and keeps the wind out while being lightweight.,5.0,"I bought this jacket for my husband who is 5'10' and about 200 lbs.  It's a bit roomy as I wanted him to be able to fit a fleece jacket under it when needed.  It is loose enough without being baggy to look good with or without the fleece.  He's worn it a bit likes the feel and says it keeps the wind out.  It finally rained to test out the waterproof part - it's waterproof all right!  We stood out in the rain about 4 hrs, some of it was drizzle, most a steady rain. His shirt was dry when he took the jacket off.  His only wish was the hood was a bit stiffer at the top.  He said it kind of plastered around his head instead of creating a hood that stood out a bit.  His solution is to get a baseball hat and that will keep the rain off his face.  I would buy it again for sure!"
Columbia Men's Watertight Ii Jacket,Doesn’t appear authentic,1.0,"The jacket doesn’t appear to be authentic. It doesn’t have Columbia embroidered on the front and the sleeve like as on an original, it is more like a iron onto shirt like sticker of some sort. Also the tag on the inside is different like a general cloth label which doesn’t have the Columbia brand and QR code like on the original. Same goes for the ""Omni-tech"" on the sleeve. This jacket does not have ""Packable"" pocket on the inside of the left pocket with a label. Also like many customers reviewed, these jackets are oversized. Maybe good for people who live in colder climate wearing layers. For petiole living in temperate climate areas I would suggest you order one or two size smaller. This The jacket appears nice but I would not have paid this much if I wanted a regular unbranded jacket."
Columbia Men's Watertight Ii Jacket,"Authentic Columbia, I own 2",5.0,"Rumors of counterfeit had me wondering but I can confirm that this is an authentic Columbia watertight2, I called Columbia and was told it was probably fake because of lack of inside pocket and certain numbers so I kept the amazon jacket and ordered another one directly from Columbia and guess what, This is not a fake, Columbia no longer embroiders the name or puts inside pockets on this jacket, the 2 jackets are identical 😃 I am roughly 6 feet 225 pounds, XLT fits loose which I wanted, XL fits snugger but still perfect if I’d get in shape, I recommend This as an authentic jacket for cheeeeap if you like the right color😄"
Columbia Men's Watertight Ii Jacket,Fake Jacket,1.0,"The jacket I received is a fake.  I also ordered a tall to compared the lengths.  See pictures.  The tall jacket is on the left off the 1st 3 pics and the bottom on the last.  The fake jacket does not have Columbia embroidered, it is a sticker of some sort.  Also the tag on the inside is different as with the ""Omni-tech"" on the sleeve.  The fake jacket does not have ""Packable"" on the inside of the pocket.  The jacket appears nice and I would have not questioned its authenticity if I didn't have the tall jacket to compare.  I am returning it."
Columbia Men's Watertight Ii Jacket,Columbia or Amazon couldn't verify counterfeit,1.0,"Based on the other reviews I couldn't verify if the item I received was authentic or counterfeit. I got a replacement and both items had a non embroidered chest logo, missing packable tag in the pocket, and a non diamond omnitech logo on the left sleeve.I called Columbia and the best they could do is verify that the product number on the tag matched the number in their system, which it did. They couldn't address the concerns listed above.I contacted Amazon and they also couldn't verify if the product was authentic or counterfeit and will open an investigation."
Columbia Men's Watertight Ii Jacket,Nicely Made (and a word for you if you're on the L/XL line),5.0,"I am on the border of large and x-large with most my clothes (36"" give or take waist). From other reviews, I read it's a little big, so decided to size down and went for the large. It fits nice with a t-shirt underneath, but not a lot of extra room for my... ugh... expanded mid section.  With a fleece mid-layer, it's a bit snug me. So if you're right on that L/XL line in most your clothing due to an over-indulgence in yummy trail treats and plan to wear over thicker clothing, I'd go with the XL.  But if you plan to be using it as a summer raincoat over just a tee for hiking and so on (that's my plan with it), then I'd go with the L.  It's really that fine of a line for me."
Columbia Men's Watertight Ii Jacket,NOT Waterproof at all!!!,1.0,"I bought this to go hiking on the Inca trail in Peru.  Even though it was rainy season, luckily we had no rain.But, then I took it on a trip to NYC where I wore it during a rainstorm on the way to a house lunch.  Was dry for the 15 minute walk in light but steady rain.  Hung the jack up to dry.  When I went to put back on the jacket, the moisture had SOAKED ALL THE WAY THROUGH the entire jacket.  Like putting on a wet washcloth.  Very disappointing.The jacket looks nice, feels well, but most sincerely very NOT WATERPROOF AT ALL.Never washed or did anything with jacket.Seller:  If you think I got a bum jacket, please let me know.  Would try another to see if works."
Columbia Men's Watertight Ii Jacket,Great jacket!!,5.0,"My husband loves this jacket. It is actually waterproof. My husband mountain bikes as a hobby and he volunteers to build the trails. Rainy days are the best trail building days and he said this jacket kept him completely dry while he was working in the rain for hours. On sizing if you are barely a large size down to a medium. The large runs big. My husband is 5'10"" 170lbs and medium fits him perfect. The large fit my brother inlaw perfectly and he is 6' 220lbs for reference."
Columbia Men's Watertight Ii Jacket,Incrediblé jacket,5.0,"Had this jacket for about a month now and all I can say is it's awesome! Perfect for rain and a pretty damn good wind breaker as well. I can't say it's completely waterproof because I haven't been in a monsoon rainstorm but it's kept me dry for every other rain storm. Also it packs up so if you don't need it right now but maybe later for like a camping trip or something you can pull it out and put it on.Instructions: the left pocket has a label inside that says ""packable"" turn that guy inside out and stuff the rest of the jacket on in there.About the size of a normal picture 6""x4"" and the width of maybe 3-4"" probably depends on how well you stuff it in there. Hope this helps!"
Columbia Men's Watertight Ii Jacket,More Than a Rain Jacket,5.0,"A Review of the Columbia Men’s Watertight Rain JacketThe Columbia Men’s Watertight Rain Jacket is a lightweight waterproof jacket with a slim design. As the name suggests, the jacket is very much capable of keeping you dry on a rainy day; however, its value goes way beyond a rain coat. Here are several features that make this jacket a wonderful addition to your wardrobe.Waterproof and WindproofThis jacket is truly waterproof. It helps you stay clean and dry even in the pouring rain. With the waterproof technology comes the wonderful stain repellent feature. No matter how dirty the jacket gets during a rainy day, a simple wipe is enough to take care of it. The windproof feature provides an extra protection against the cold. Meanwhile, the fabric is still breathable that it allows moisture vapor to move away from the skin. The only downside is that the waterproof feature can post difficulty when it comes to washing this jacket. You may find a pouch of water when you take it out of the washer. An extra cycle of drying will take care of the issue if this ever occurs.DesignThis jacket is lined with a soft layer of mesh and is very light weight. The longer arm length and body length provide enough coverage to keep you dry no matter how hard the wind is blowing. The hood comes out far enough forward to shield your face while the drawstring helps keep the hood on even in strong wind. Two front pockets with zipper are big enough to protect a phone, a wallet, a set of keys, and even a pair of gloves from getting rained on. The slim design delivers a more modern look than its competitors, helping you keep the style even on an awfully crummy day. Meanwhile, the jacket is still generous with space around your chest so that you always have enough room for a sweater or a hoodie or even a coat. Another notable feature is that the entire jacket can be packed into the front left pocket, which comes with a double-sided zipper.VersatilityFew jackets are as versatile as this one. The waterproof and windproof features make this jacket practically perfect for a fishing trip. The breathable fabric makes sure that you can throw this jacket over your favorite tee on a rainy day in the middle of the summer. You can also layer up under this jacket for fall or winter use. The matt finish and the slick look ensure that no one knows you are using a rain jacket as a spring/fall windbreaker. You can also use this jacket to protect your pea coat from getting wet on a snow day.Overall, the Columbia Men’s Watertight Rain Jacket is a high quality jacket that can be worn in many occasions. It surely has room for improvements. But for the price you are paying, you can hardly find a better deal than this."
Columbia Men's Watertight Ii Jacket,It's waterproof and keeps the wind out while being lightweight.,5.0,"I bought this jacket for my husband who is 5'10' and about 200 lbs.  It's a bit roomy as I wanted him to be able to fit a fleece jacket under it when needed.  It is loose enough without being baggy to look good with or without the fleece.  He's worn it a bit likes the feel and says it keeps the wind out.  It finally rained to test out the waterproof part - it's waterproof all right!  We stood out in the rain about 4 hrs, some of it was drizzle, most a steady rain. His shirt was dry when he took the jacket off.  His only wish was the hood was a bit stiffer at the top.  He said it kind of plastered around his head instead of creating a hood that stood out a bit.  His solution is to get a baseball hat and that will keep the rain off his face.  I would buy it again for sure!"
Columbia Men's Watertight Ii Jacket,Doesn’t appear authentic,1.0,"The jacket doesn’t appear to be authentic. It doesn’t have Columbia embroidered on the front and the sleeve like as on an original, it is more like a iron onto shirt like sticker of some sort. Also the tag on the inside is different like a general cloth label which doesn’t have the Columbia brand and QR code like on the original. Same goes for the ""Omni-tech"" on the sleeve. This jacket does not have ""Packable"" pocket on the inside of the left pocket with a label. Also like many customers reviewed, these jackets are oversized. Maybe good for people who live in colder climate wearing layers. For petiole living in temperate climate areas I would suggest you order one or two size smaller. This The jacket appears nice but I would not have paid this much if I wanted a regular unbranded jacket."
Columbia Men's Watertight Ii Jacket,"Authentic Columbia, I own 2",5.0,"Rumors of counterfeit had me wondering but I can confirm that this is an authentic Columbia watertight2, I called Columbia and was told it was probably fake because of lack of inside pocket and certain numbers so I kept the amazon jacket and ordered another one directly from Columbia and guess what, This is not a fake, Columbia no longer embroiders the name or puts inside pockets on this jacket, the 2 jackets are identical 😃 I am roughly 6 feet 225 pounds, XLT fits loose which I wanted, XL fits snugger but still perfect if I’d get in shape, I recommend This as an authentic jacket for cheeeeap if you like the right color😄"
Columbia Men's Watertight Ii Jacket,Fake Jacket,1.0,"The jacket I received is a fake.  I also ordered a tall to compared the lengths.  See pictures.  The tall jacket is on the left off the 1st 3 pics and the bottom on the last.  The fake jacket does not have Columbia embroidered, it is a sticker of some sort.  Also the tag on the inside is different as with the ""Omni-tech"" on the sleeve.  The fake jacket does not have ""Packable"" on the inside of the pocket.  The jacket appears nice and I would have not questioned its authenticity if I didn't have the tall jacket to compare.  I am returning it."
Columbia Men's Watertight Ii Jacket,Columbia or Amazon couldn't verify counterfeit,1.0,"Based on the other reviews I couldn't verify if the item I received was authentic or counterfeit. I got a replacement and both items had a non embroidered chest logo, missing packable tag in the pocket, and a non diamond omnitech logo on the left sleeve.I called Columbia and the best they could do is verify that the product number on the tag matched the number in their system, which it did. They couldn't address the concerns listed above.I contacted Amazon and they also couldn't verify if the product was authentic or counterfeit and will open an investigation."
Columbia Men's Watertight Ii Jacket,Nicely Made (and a word for you if you're on the L/XL line),5.0,"I am on the border of large and x-large with most my clothes (36"" give or take waist). From other reviews, I read it's a little big, so decided to size down and went for the large. It fits nice with a t-shirt underneath, but not a lot of extra room for my... ugh... expanded mid section.  With a fleece mid-layer, it's a bit snug me. So if you're right on that L/XL line in most your clothing due to an over-indulgence in yummy trail treats and plan to wear over thicker clothing, I'd go with the XL.  But if you plan to be using it as a summer raincoat over just a tee for hiking and so on (that's my plan with it), then I'd go with the L.  It's really that fine of a line for me."
Columbia Men's Watertight Ii Jacket,NOT Waterproof at all!!!,1.0,"I bought this to go hiking on the Inca trail in Peru.  Even though it was rainy season, luckily we had no rain.But, then I took it on a trip to NYC where I wore it during a rainstorm on the way to a house lunch.  Was dry for the 15 minute walk in light but steady rain.  Hung the jack up to dry.  When I went to put back on the jacket, the moisture had SOAKED ALL THE WAY THROUGH the entire jacket.  Like putting on a wet washcloth.  Very disappointing.The jacket looks nice, feels well, but most sincerely very NOT WATERPROOF AT ALL.Never washed or did anything with jacket.Seller:  If you think I got a bum jacket, please let me know.  Would try another to see if works."
Columbia Men's Watertight Ii Jacket,Great jacket!!,5.0,"My husband loves this jacket. It is actually waterproof. My husband mountain bikes as a hobby and he volunteers to build the trails. Rainy days are the best trail building days and he said this jacket kept him completely dry while he was working in the rain for hours. On sizing if you are barely a large size down to a medium. The large runs big. My husband is 5'10"" 170lbs and medium fits him perfect. The large fit my brother inlaw perfectly and he is 6' 220lbs for reference."
Columbia Men's Watertight Ii Jacket,Incrediblé jacket,5.0,"Had this jacket for about a month now and all I can say is it's awesome! Perfect for rain and a pretty damn good wind breaker as well. I can't say it's completely waterproof because I haven't been in a monsoon rainstorm but it's kept me dry for every other rain storm. Also it packs up so if you don't need it right now but maybe later for like a camping trip or something you can pull it out and put it on.Instructions: the left pocket has a label inside that says ""packable"" turn that guy inside out and stuff the rest of the jacket on in there.About the size of a normal picture 6""x4"" and the width of maybe 3-4"" probably depends on how well you stuff it in there. Hope this helps!"
Columbia Men's Watertight Ii Jacket,More Than a Rain Jacket,5.0,"A Review of the Columbia Men’s Watertight Rain JacketThe Columbia Men’s Watertight Rain Jacket is a lightweight waterproof jacket with a slim design. As the name suggests, the jacket is very much capable of keeping you dry on a rainy day; however, its value goes way beyond a rain coat. Here are several features that make this jacket a wonderful addition to your wardrobe.Waterproof and WindproofThis jacket is truly waterproof. It helps you stay clean and dry even in the pouring rain. With the waterproof technology comes the wonderful stain repellent feature. No matter how dirty the jacket gets during a rainy day, a simple wipe is enough to take care of it. The windproof feature provides an extra protection against the cold. Meanwhile, the fabric is still breathable that it allows moisture vapor to move away from the skin. The only downside is that the waterproof feature can post difficulty when it comes to washing this jacket. You may find a pouch of water when you take it out of the washer. An extra cycle of drying will take care of the issue if this ever occurs.DesignThis jacket is lined with a soft layer of mesh and is very light weight. The longer arm length and body length provide enough coverage to keep you dry no matter how hard the wind is blowing. The hood comes out far enough forward to shield your face while the drawstring helps keep the hood on even in strong wind. Two front pockets with zipper are big enough to protect a phone, a wallet, a set of keys, and even a pair of gloves from getting rained on. The slim design delivers a more modern look than its competitors, helping you keep the style even on an awfully crummy day. Meanwhile, the jacket is still generous with space around your chest so that you always have enough room for a sweater or a hoodie or even a coat. Another notable feature is that the entire jacket can be packed into the front left pocket, which comes with a double-sided zipper.VersatilityFew jackets are as versatile as this one. The waterproof and windproof features make this jacket practically perfect for a fishing trip. The breathable fabric makes sure that you can throw this jacket over your favorite tee on a rainy day in the middle of the summer. You can also layer up under this jacket for fall or winter use. The matt finish and the slick look ensure that no one knows you are using a rain jacket as a spring/fall windbreaker. You can also use this jacket to protect your pea coat from getting wet on a snow day.Overall, the Columbia Men’s Watertight Rain Jacket is a high quality jacket that can be worn in many occasions. It surely has room for improvements. But for the price you are paying, you can hardly find a better deal than this."
Columbia Men's Watertight Ii Jacket,It's waterproof and keeps the wind out while being lightweight.,5.0,"I bought this jacket for my husband who is 5'10' and about 200 lbs.  It's a bit roomy as I wanted him to be able to fit a fleece jacket under it when needed.  It is loose enough without being baggy to look good with or without the fleece.  He's worn it a bit likes the feel and says it keeps the wind out.  It finally rained to test out the waterproof part - it's waterproof all right!  We stood out in the rain about 4 hrs, some of it was drizzle, most a steady rain. His shirt was dry when he took the jacket off.  His only wish was the hood was a bit stiffer at the top.  He said it kind of plastered around his head instead of creating a hood that stood out a bit.  His solution is to get a baseball hat and that will keep the rain off his face.  I would buy it again for sure!"
Columbia Men's Watertight Ii Jacket,Doesn’t appear authentic,1.0,"The jacket doesn’t appear to be authentic. It doesn’t have Columbia embroidered on the front and the sleeve like as on an original, it is more like a iron onto shirt like sticker of some sort. Also the tag on the inside is different like a general cloth label which doesn’t have the Columbia brand and QR code like on the original. Same goes for the ""Omni-tech"" on the sleeve. This jacket does not have ""Packable"" pocket on the inside of the left pocket with a label. Also like many customers reviewed, these jackets are oversized. Maybe good for people who live in colder climate wearing layers. For petiole living in temperate climate areas I would suggest you order one or two size smaller. This The jacket appears nice but I would not have paid this much if I wanted a regular unbranded jacket."
